timestamp,ticker,action,quantity,exchange,price,commission
2009-11-30 00:00:00,AAPL,BOT,616510491211970762463111012578667433754382765517041157791381849907925704572210163976918878077430836607761648049659687252211323928956231445761107165184,ARCA,199.91,3.0825524560598537e+147
2009-11-30 00:00:00,AMZN,BOT,24392911531847115031755800424095263450580608774170871900365635663190043857503183289142790629586287858303881651319231855280461220761506465350997245952,ARCA,135.91,1.2196455765923557e+146
2009-12-31 00:00:00,AAPL,BOT,475747116968175113177607023373276087258281381439824020651550112208412589923631218979869214014607514357318673630771983716805152266675133341443825860608,ARCA,210.732,2.3787355848408755e+147
2009-12-31 00:00:00,AMZN,BOT,68131481724820327549718344289479643249339212576334204298239985510315133934340966733808113754639484686745464146168819918127326612582046904305405919232,ARCA,134.52,3.4065740862410163e+146
2010-03-31 00:00:00,AAPL,BOT,918567155802075991508293279006901947060091531877080271737570816774289999242249740391969003870880127159892752635381038010985787763179320197381045092352,ARCA,235.0,4.59283577901038e+147
2010-03-31 00:00:00,AMZN,BOT,176798503194741797031681486820974604199922815355863558561171300435869198385834979256452813078248962048372224029275553212465090892855803326376156594176,ARCA,135.77,8.83992515973709e+146
2010-04-30 00:00:00,AAPL,BOT,1308044723142861761978685202331897913311644793568087450535827353925398102056360849067040458252394613595701429584648319629160745077532456374310216400896,ARCA,261.09,6.540223615714309e+147
2010-04-30 00:00:00,AMZN,BOT,258742209186073067190716563457000400662360239679982772439406028815480970797155460692156755870653923369775158178347627268430792986171033040337097457664,ARCA,137.1,1.2937110459303653e+147
2010-06-30 00:00:00,AAPL,SLD,943081692937160859327284816227079708060778180503870098926038493522862194652352678590659969596933141154723462899986903657051361400944410046971881979904,ARCA,251.53,4.715408464685804e+147
2010-06-30 00:00:00,AMZN,SLD,42973842432744900382291865233309869389799134711053578683802246873630958023151209571414403189677662644555111812464455203466783848590711065500989784064,ARCA,109.26,2.1486921216372452e+146
2010-08-31 00:00:00,AAPL,SLD,424554369468957169012827724788466925472197046076374791455300925979750361995799274752302135772384896483246533879990326966223446529619041698579631570944,ARCA,243.1,2.122771847344786e+147
2010-08-31 00:00:00,AMZN,SLD,179116771663527133387743161736583249360044380971669715692763509640121614956153138188773651243266241292426326318812783768261632305476267916222462427136,ARCA,124.83,8.955838583176357e+146
2010-09-30 00:00:00,AAPL,BOT,1619452331764408566616224566276159649682636764246719529542111188021679581710196475222000263361507002109652717802015753831976331430319795480801627340800,ARCA,283.75,8.097261658822043e+147
2010-09-30 00:00:00,AMZN,BOT,291802143394440475207962873847555407007055355823029024705346362216701728505133865564223095017298442551825611450073519126914331845167797852748554174464,ARCA,157.06,1.4590107169722024e+147
2010-11-30 00:00:00,AAPL,BOT,2273546834986749401210758867776805484129417900402913752877629587717350948822764112847755632747203944894086532885315213990109173548988891906426401718272,ARCA,311.15,1.1367734174933747e+148
2010-11-30 00:00:00,AMZN,BOT,330737812379550598989138009168862289500806712448477976125177400560066400112313103081445793930755857622046515005182807716796396187684567613994604429312,ARCA,175.4,1.6536890618977532e+147
2010-12-31 00:00:00,AAPL,BOT,1519568146620600211592438622074150752619518619183266419655360186673009986916338900421981263622922941670917155080968663244590037288739852793757145497600,ARCA,322.56,7.597840733103001e+147
2010-12-31 00:00:00,AMZN,BOT,201742583500252700297692583902423914282182993010025489636809840453115434490918919447194547862468556338808342867762166745538733930814539617462816604160,ARCA,180.0,1.0087129175012635e+147
2011-01-31 00:00:00,AAPL,BOT,1588042727885426488680105018479177791767278964186873498028173340542134684151643470645588321026324726568416003211072082418796099976753015696871701610496,ARCA,339.32,7.940213639427133e+147
2011-01-31 00:00:00,AMZN,BOT,429837424192558943183638479392515908985847939808148816767597889376091131650109105349630414753232516741349893343656099267853455004834228069121088552960,ARCA,169.64,2.149187120962795e+147
2011-02-28 00:00:00,AAPL,BOT,1842106168306038622690640249013090723552429584347213591482399037573086785935187668934797705981181393984083314682704695436814590778315883910783769247744,ARCA,353.21,9.210530841530194e+147
2011-02-28 00:00:00,AMZN,BOT,345894005120956488816100077172364279004524205740253058976446904786843454287093122819213421018456679746271748601531045185525892960422778741446410240000,ARCA,173.29,1.7294700256047824e+147
2011-03-31 00:00:00,AAPL,SLD,257189065715758113533164792189421973826766224299593206660010459824503123300406228079075103166866145320478265828824178857085776657167599202845277028352,ARCA,348.5075,1.2859453285787905e+147
2011-03-31 00:00:00,AMZN,SLD,173517372172846223581081938741468134486935405237923172896171795334528728761956525569196230139162109435813531446423826055840403226216613791125326528512,ARCA,180.13,8.675868608642311e+146
2011-05-31 00:00:00,AAPL,SLD,544507759185160544031199506745980483897636495694008911293512854166803160933003092663597402009928651561379981817393445716501693881574140771743607816192,ARCA,347.83,2.722538795925803e+147
2011-05-31 00:00:00,AMZN,SLD,243786933835987615250896933326839680049872614176941975326033956514805325852491317817165567919334844202467120117965275322429078960826657410821539233792,ARCA,196.69,1.2189346691799382e+147
2011-06-30 00:00:00,AAPL,SLD,1957328388425196796426709226637638777068405674698594527186034949613466977472488848367350679640806094476337868793015082485501730257894744314098193793024,ARCA,335.67,9.786641942125984e+147
2011-06-30 00:00:00,AMZN,SLD,407535899540466467514107360744998794992870502201154502004664505744429116627597006423586837870776888147895804574935111455401752520912087153344816087040,ARCA,204.49,2.0376794977023325e+147
2011-08-31 00:00:00,AAPL,BOT,3860505448437680783452821979455115730232009739847620309019846549382989864128525918932948774538726136136073648637519663672775789996859640998604318965760,ARCA,384.83,1.9302527242188404e+148
2011-08-31 00:00:00,AMZN,BOT,907887948902159935671617198324364931490198461290178467047897428889002464377053354418455259893843041688520272171697717245858409473381162985000215248896,ARCA,215.23,4.5394397445108e+147
2011-09-30 00:00:00,AAPL,BOT,1060974095538343728755499953418974261789239324751974928966003309405553027738973160663207526692215552441314129517845838457656698125285074817562429095936,ARCA,381.32,5.304870477691719e+147
2011-09-30 00:00:00,AMZN,SLD,54827283478007008008292990359640054626575457493462712949571408833451954216257315564969957475232936569401532653393709292705867638211963876242922405888,ARCA,216.23,2.7413641739003503e+146
2011-10-31 00:00:00,AAPL,BOT,3004891402756144227927090664653199604437285214115208735004908588694723460051325347971062364891846388330554969458873222299225900994943926570720813907968,ARCA,404.78,1.5024457013780722e+148
2011-10-31 00:00:00,AMZN,BOT,736399506060830501164671156097246769123808403246471487526702247113725828455899482163978914059900572225294220922488836625351796664340577028904740454400,ARCA,213.51,3.6819975303041525e+147
2011-11-30 00:00:00,AAPL,SLD,3957126209546916739616231813211285527766327915189585214685967833360307187906089723258223299168608011505712299378341854336661134302764577448828904407040,ARCA,382.2,1.9785631047734583e+148
2011-11-30 00:00:00,AMZN,SLD,613764315157318077939776326639596165488084974219800985117668553548027742078148766110252692503434379568352104924488564364652326682547988033970691375104,ARCA,192.29,3.0688215757865903e+147
2012-01-31 00:00:00,AAPL,BOT,7673983729440983595268339119519883105599587177238386009030029713431406394553235109691807251696139234952751175089241737800713554753982650140768086261760,ARCA,456.48,3.836991864720492e+148
2012-01-31 00:00:00,AMZN,BOT,2554940993127490793073584031047349861540166098951190156438157199091420464334422613297434121371963814575468574582223320851732490418213704732321127596032,ARCA,194.44,1.2774704965637456e+148
2012-02-29 00:00:00,AAPL,BOT,14210677759116019945264712557764300129675246663622408199677561613152394671891851172359240996210105004321633785462364599955166589923957694747042002239488,ARCA,542.44,7.10533887955801e+148
2012-02-29 00:00:00,AMZN,BOT,5361428646628409205413643317654297388888265537128487743994353342372338094189328065823852744698167288629694241839726260004406012890165390962010965934080,ARCA,179.69,2.6807143233142045e+148
2012-04-30 00:00:00,AAPL,BOT,16824738785402682894286806784527094817811851427752034466690781142634392999137396923161561898177765903268222997083813949091738774650678350627777342865408,ARCA,583.98,8.412369392701342e+148
2012-04-30 00:00:00,AMZN,BOT,1807464694585805195074483515320372070120879914492089248475442373172279998115778600568021971138159817817253369839263610271970585194098817326080896008192,ARCA,231.9,9.037323472929026e+147
2012-05-31 00:00:00,AAPL,SLD,694421569396449827409974870785825259955999723365900506803984717917473331491158106670464057437946627300035654780826447011481526983323628787277294993408,ARCA,577.73,3.472107846982249e+147
2012-05-31 00:00:00,AMZN,BOT,32911524802976125813393794719862587461958975097054961611046644893935977820523916329817939756578167073869415297561642214595901977565926173604937990144,ARCA,212.91,1.6455762401488063e+146
